Date,FEZ,GLD,TLT,VOO
2021-01-04,35.668365478515625,182.3300018310547,131.19808959960938,313.6644592285156
2021-01-05,35.89749526977539,182.8699951171875,130.22377014160156,315.7276611328125
2021-01-06,36.474578857421875,179.89999389648438,127.55049896240234,317.64276123046875
2021-01-07,36.49155044555664,179.47999572753906,126.42623901367188,322.38897705078125
2021-01-08,36.66127014160156,173.33999633789062,126.01815032958984,324.2022705078125
2021-01-11,36.101173400878906,173.0,125.8099365234375,322.0836486816406
2021-01-12,36.160579681396484,174.1199951171875,125.71003723144531,322.111328125
2021-01-13,36.084205627441406,173.3699951171875,127.12574768066406,322.9162902832031
2021-01-14,36.31333923339844,173.27999877929688,125.93486022949219,321.82464599609375
2021-01-15,35.608970642089844,171.1300048828125,126.4345474243164,319.53009033203125
2021-01-19,35.889015197753906,172.5800018310547,126.8426284790039,322.055908203125
2021-01-20,36.10966110229492,175.38999938964844,126.96761322021484,326.4319152832031
2021-01-21,36.19452667236328,175.27999877929688,126.07640838623047,326.73736572265625
2021-01-22,35.97386932373047,173.89999389648438,126.4844970703125,325.57159423828125
2021-01-25,35.625938415527344,174.0500030517578,127.97520446777344,326.8945617675781
2021-01-26,35.931453704833984,173.6199951171875,127.73370361328125,326.4042053222656
2021-01-27,34.93003845214844,172.52000427246094,128.0585174560547,318.4847717285156
2021-01-28,35.3543701171875,172.67999267578125,127.35065460205078,321.1585388183594
2021-01-29,34.590599060058594,172.61000061035156,126.58448028564453,314.7284851074219
2021-02-01,35.065834045410156,174.22999572753906,126.73115539550781,319.9002380371094
2021-02-02,35.59199523925781,172.11000061035156,125.91415405273438,324.4984130859375
2021-02-03,35.68533706665039,171.85000610351562,124.79692077636719,324.822265625
2021-02-04,35.80414581298828,168.14999389648438,124.46333312988281,328.4580993652344
2021-02-05,36.160579681396484,169.80999755859375,123.42110443115234,329.77197265625
2021-02-08,36.372737884521484,171.52000427246094,123.96312713623047,332.2051696777344
2021-02-09,36.44063186645508,172.0800018310547,124.05484008789062,331.936767578125
2021-02-10,36.253929138183594,172.7100067138672,124.88026428222656,331.8073425292969
2021-02-11,36.56791305541992,171.2100067138672,124.19657135009766,332.3439025878906
2021-02-12,36.805545806884766,170.69000244140625,122.65406799316406,334.0369873046875
2021-02-16,37.03468322753906,168.24000549316406,120.78649139404297,333.7224426269531
2021-02-17,36.70370864868164,166.3300018310547,121.55357360839844,333.7965087890625
2021-02-18,36.65278244018555,166.32000732421875,121.06161499023438,332.3716735839844
2021-02-19,36.85646057128906,167.00999450683594,119.45250701904297,331.7610168457031
2021-02-22,36.78858184814453,169.50999450683594,118.54366302490234,329.1520690917969
2021-02-23,36.83100128173828,169.1199951171875,118.20184326171875,329.56842041015625
