Portfolio,95% VaR (Loss),95% ES (Loss),99% VaR (Loss),99% ES (Loss),VaR (€) 99%,ES (€) 99%
Equal Weight,0.00817718842196772,0.012663536345940097,0.013576287409796547,0.021233934445438696,1357.6287409796546,2123.3934445438695
Classic 60/40,0.009798355305643689,0.01576148946584151,0.017208200048677947,0.02843807661550784,1720.8200048677948,2843.807661550784
Defensive,0.00838877721938901,0.012112089857133598,0.01397049618213864,0.018699415705880774,1397.049618213864,1869.9415705880774
Aggressive Growth,0.012442001470226189,0.020289156312032344,0.02280067993556087,0.03729738988069236,2280.067993556087,3729.738988069236
Conservative Income,0.00816366734904712,0.011747221819254784,0.01359547079373586,0.018446592417875367,1359.547079373586,1844.6592417875368
