Portfolio,95% VaR (Loss),95% ES (Loss),99% VaR (Loss),99% ES (Loss),VaR (€) 99%,ES (€) 99%
Equal Weight,0.008793937785000256,0.011110224896057286,0.012571613170024486,0.014450025292675174,1257.1613170024486,1445.0025292675175
Classic 60/40,0.010713665079016284,0.013511770748924415,0.015277147241244847,0.017546294095157313,1527.7147241244847,1754.6294095157314
Defensive,0.008654469959843694,0.01091475945187926,0.01234081779484723,0.014173818186841828,1234.081779484723,1417.3818186841827
Aggressive Growth,0.013716908214800802,0.017297135097870144,0.019555966293745525,0.022459380791410428,1955.5966293745525,2245.9380791410426
Conservative Income,0.008157543322386444,0.010276563438305302,0.011613492325454902,0.013331929152600312,1161.3492325454902,1333.1929152600312
