Portfolio,2008 Crisis,Geopolitical,Solvency II,Stagflation,Tech Bubble
Aggressive Growth,0.32000000000000006,0.13,0.3550000000000001,0.21000000000000002,0.305
Classic 60/40,0.215,0.08499999999999999,0.31,0.195,0.20999999999999996
Conservative Income,-0.009999999999999978,-0.029999999999999992,0.21750000000000003,0.11499999999999999,0.037500000000000006
Equal Weight,0.08000000000000003,-0.009999999999999995,0.26,0.08000000000000003,0.15000000000000002
Risk Parity,-0.09249999999999999,-0.1025,0.19,0.007500000000000007,0.025
