Date,AGG,EFA,GLD,TLT,VOO
2016-01-05,0.0004626757712523867,-0.0015578469871744423,0.00281458831856644,-0.0040424955089655755,0.0017892364110827018
2016-01-06,0.0037885682107582763,-0.016592649395955235,0.014337487598989632,0.013385415438954008,-0.012754319152807185
2016-01-07,-9.199708961146483e-05,-0.02100106876822742,0.014040676150811138,0.0017930102443497913,-0.02465717575919308
2016-01-08,0.002211003078819625,-0.01212361566939607,-0.0044375394222030354,0.004468385453595731,-0.010683123765023238
2016-01-11,-0.002857121872683119,0.004178323695695803,-0.008934594646018349,-0.011004098171920645,0.00011389235613747316
2016-01-12,0.0022125254253552305,0.004702653120572566,-0.0050729832368576954,0.014322065051910656,0.008261466492397156
2016-01-13,0.0022991021680616635,-0.015639360844803853,0.004882048039545079,0.009808736023165681,-0.024761586045667246
2016-01-14,-0.00036665271297224746,0.012748045837202298,-0.016367021706295802,-0.009404622615922467,0.01610216324486055
2016-01-15,0.0011938734599485751,-0.03686374887752397,0.01023674024483427,0.015466612821651595,-0.021663404515965146
2016-01-19,-0.0010104356058256007,0.009157979678980077,-0.0009612465570264486,-0.003105949183141369,0.0011031165821977593
2016-01-20,0.0008265207215694627,-0.02295891739924455,0.013279386437522704,0.010474163339232642,-0.011789990089415928
2016-01-21,-0.0013776932273648862,0.0073965219949960696,0.00113814976565955,-0.006811848180377878,0.004861302406926781
2016-01-22,0.0007343873646447297,0.029052479238449808,-0.004655791285644273,-0.0038215936097294036,0.020300838171361888
2016-01-25,-0.000551260960635498,-0.013490083834201529,0.010233193541102439,0.005409787444633969,-0.014939917923698505
2016-01-26,0.001286717706394931,0.017703229844498593,0.011341913483231932,0.00047632623591373576,0.013450246633126287
2016-01-27,0.00018361417161361554,-0.0064180749697022805,0.0037212948296183107,-0.00023797129583557532,-0.011418239617021155
2016-01-28,0.0008252324932931926,0.002938826220645897,-0.0107362419293496,0.0014268158322292938,0.005436843927006475
2016-01-29,0.002931023255052117,0.017455182854765296,0.0038408969118528882,0.008441284146122273,0.02500753865494562
2016-02-01,-0.001210890999469554,-0.0010820797440621172,0.010232704202856196,-0.00306644867788669,-0.0009001178499850974
2016-02-02,0.003024012379217421,-0.023552067053628084,0.00037006835108891606,0.018382113543250245,-0.018298321935234
