Date,FEZ,GLD,TLT,VOO
2021-01-05,0.006423893783352064,0.0029616260665272787,-0.007426323515694833,0.006577735677709473
2021-01-06,0.016075873352990433,-0.01624105266038789,-0.02052828893137082,0.006065670935466949
2021-01-07,0.00046529908408565746,-0.00233462025122122,-0.008814234031823465,0.014941992702515394
2021-01-08,0.004650931351851906,-0.03420993723985433,-0.0032278796495551765,0.0056245516630850645
2021-01-11,-0.015277614184105559,-0.0019614419353504164,-0.0016522525176554392,-0.006534876584464944
2021-01-12,0.0016455498511893651,0.006473960214956609,-0.0007940492997036142,8.593867919914899e-05
2021-01-13,-0.0021120804651915126,-0.004307374345463466,0.011261713705583265,0.00249901846944911
2021-01-14,0.0063499695219222385,-0.0005190998467168306,-0.009367791127280922,-0.003380579797172767
2021-01-15,-0.0193969655828502,-0.012407628760563338,0.003967822681611999,-0.007129832014451609
2021-01-19,0.007864438387698014,0.00847307255811236,0.003227607192818782,0.007904788774256266
2021-01-20,0.0061480066623511576,0.016282289539807593,0.0009853528163965564,0.013587724890667507
2021-01-21,0.0023502178496759285,-0.0006271772092728556,-0.007019150879355784,0.0009357248024848275
2021-01-22,-0.006096428629395412,-0.007873145210082533,0.003236836211512939,-0.0035679160288160094
2021-01-25,-0.009671767723179236,0.0008626173693986328,0.011785692570942086,0.004063522594445423
2021-01-26,0.00857564187483928,-0.0024705999829396363,-0.0018870909837304106,-0.0015000446708597348
2021-01-27,-0.027870156907980115,-0.006335623059913753,0.0025428984957394096,-0.0242626579701416
2021-01-28,0.012148044601220986,0.0009273614616172043,-0.005527651483602569,0.008395274522333906
2021-01-29,-0.021603299806990495,-0.0004053281700162614,-0.006016257386351254,-0.020021431578919335
2021-02-01,0.013738848076219501,0.009385291185094458,0.0011587132129649014,0.016432427233023628
2021-02-02,0.015004953059615689,-0.012167796413785958,-0.006446728432512927,0.014373778141092641
2021-02-03,0.0026225511316551042,-0.0015106298641213156,-0.008872976074630001,0.0009980096234760705
2021-02-04,0.0033293435372625524,-0.021530474690833024,-0.002673043889297233,0.011193302076255573
2021-02-05,0.009955100458754806,0.009872160109213546,-0.008373781036723926,0.0040001245015872655
2021-02-08,0.005867112889071047,0.010070118005137685,0.004391653336569101,0.007378422738249846
2021-02-09,0.001866617304123519,0.0032649110578624185,0.0007398405782339523,-0.0008079407670559258
2021-02-10,-0.005123476699188334,0.0036611162023989507,0.00665370406951582,-0.0003899087460916828
2021-02-11,0.008660686571090315,-0.008685078696598514,-0.005474787678089621,0.001617083137773978
2021-02-12,0.006498395221644193,-0.0030372306060941767,-0.012419854591520285,0.005094375746367508
2021-02-16,0.006225622134679254,-0.014353488272303538,-0.015226373080631794,-0.0009416462538247572
2021-02-17,-0.008936881593503365,-0.011352850687983307,0.006350728508645931,0.00022193941026671382
2021-02-18,-0.0013874948982279811,-6.0088418961767864e-05,-0.0040472575471041106,-0.004268574318668339
2021-02-19,0.005556962324372083,0.004148551901348441,-0.013291644682926207,-0.001837270702694016
2021-02-22,-0.001841704875953476,0.014969164015496528,-0.007608412889950844,-0.007863937055388348
2021-02-23,0.0011530597664473063,-0.0023007456922117253,-0.0028834924993990096,0.0012649208601609452
2021-02-24,0.007603811734945065,-0.0007095264939214196,-0.006559756978528064,0.011060718946731551
2021-02-25,-0.018980225094647696,-0.018816524708764826,-0.01633076093138719,-0.023989568032812603
2021-02-26,-0.009790132707195087,-0.024182906697045592,0.033059048333649255,-0.005490385959775912
2021-03-01,0.01883230243764311,-0.0017304170540851649,-0.013207648382725812,0.02440004529028239
2021-03-02,0.001155444402092476,0.005447934683729505,7.1206847209071e-05,-0.0077349895214093856
2021-03-03,-0.006000442971101583,-0.011021541189334294,-0.01084560500389764,-0.013198091771024822
2021-03-04,-0.010448135355901389,-0.009836893780889033,-0.006450061653411776,-0.012319557464443465
2021-03-05,0.004457942537386517,0.0006288110395962221,0.0019476398414173257,0.018334491612342463
2021-03-08,0.005138825246971512,-0.010368190918767173,-0.007774757704175905,-0.004905127353087679
2021-03-09,0.01417644088985015,0.02127113294736649,0.013857823215094767,0.013989973903728137
2021-03-10,0.01122819161099331,0.005098279923459348,0.00200353314597157,0.006182125068995958
2021-03-11,0.009744201841867417,-0.000866011298261804,-0.007213258013659574,0.01055669897199385
2021-03-12,0.0,-0.00018572795011984056,-0.02122164170493468,0.0014093007835294102
2021-03-15,-0.004488610061180731,0.004396503999798185,0.005879890442848756,0.005795307770586122
2021-03-16,-0.0015781375160294209,0.0009248406787658592,-0.004018598438999987,-0.0011248876945033626
2021-03-17,0.010160234104849675,0.00714498527693741,-0.0074831373780114285,0.0032689196038588886
2021-03-18,-0.01206957007494125,-0.005810023730399405,-0.010126603485848484,-0.014702848939450619
2021-03-19,0.00045245601545818026,0.004183119739068708,0.006198177618395695,-0.001778376456502917
2021-03-22,0.0004524546963344811,-0.0014702614866924923,0.011205605393666662,0.007905753878890698
2021-03-23,-0.011985389000091495,-0.007300628474884996,0.009027197766891426,-0.007346505722558128
2021-03-24,-0.0025179091481529747,0.0034608341081703298,0.005381861489507589,-0.005536798939281162
2021-03-25,0.006425308138383379,-0.003633653726877295,-0.007885472018515416,0.005623367545620983
2021-03-26,0.012767754729952507,0.0028434090575977233,-0.003499498534055956,0.016313696065685113
2021-03-29,-0.0018011584583491613,-0.011896005111092234,-0.008488615647272879,-0.000604187595236727
2021-03-30,0.0036085129736636024,-0.017091823816998808,0.005239730732799375,-0.002556632444511431
2021-03-31,0.0002246517368003076,0.015167857324082767,-0.005579184624994293,0.003968245341136711
2021-04-01,0.01729944670358008,0.012628087827510459,0.016596711021952926,0.01059595179909767
2021-04-05,0.017668007565128097,-0.0003704010382533651,-0.0043635135108226475,0.014423114695670813
2021-04-06,-0.010199714797616055,0.00802867506459215,0.006792917675338961,-0.000562216053609399
2021-04-07,0.0015345866151894594,-0.002818323186048577,-0.006964338036282713,0.0012589170354653234
2021-04-08,0.004816242913485702,0.01075202788807239,0.008255491347363808,0.00486988315305914
2021-04-09,0.0017428864196014082,-0.00753747660190629,-0.0036232075750208814,0.007189557986247985
2021-04-12,-0.003697128786430026,-0.006063609158189043,-0.0004358137191716738,0.0004493550915860567
2021-04-13,0.006112135390890172,0.007086479573175097,0.007493208275651142,0.0027217593257715667
2021-04-14,-0.00043380353086830414,-0.004344315528953313,-0.0031770955952236113,-0.0032150597330637964
2021-04-15,0.007597002043174816,0.016162763416190717,0.016734368569883973,0.010734341218914256
2021-04-16,0.014002646457495604,0.006047777218550321,-0.007766869951994604,0.0035049181833235465
2021-04-19,-0.0023369124882495207,-0.0027652942409929215,-0.002872300627272395,-0.004926624145187852
2021-04-20,-0.018952261892619893,0.0035565515706876827,0.00460944503735683,-0.00733465027487179
2021-04-21,0.014326020490264435,0.009911155680072392,0.0020067904523306535,0.009394726764189398
2021-04-22,-0.0027822583126421163,-0.006483147356353358,0.0043639545826943404,-0.0091766683970812
2021-04-23,0.01073006333541171,-0.003831414124593202,-0.0023504038458387333,0.010659997753708517
2021-04-26,0.0014859444838473124,0.002644245538133694,-0.001428109775015507,0.002166819159246769
2021-04-27,-0.0010599637737758183,-0.002517371003141977,-0.00872304735771312,-0.00031254613266551434
2021-04-28,0.0038199376314917988,0.002944390689552989,0.0006491823896390692,-0.00046896577243671356
2021-04-29,-0.00021135313023490365,-0.004133978948338446,-0.0029553142926090903,0.0066741787813011655
2021-04-30,-0.017339655948876875,-0.0033690142851713345,0.0023133898614546844,-0.006604135699627256
2021-05-03,0.012481004676062168,0.012978352341882271,0.0005994123980999078,0.0022682295161366994
2021-05-04,-0.020191345030311947,-0.007329692780131181,0.006786902358783209,-0.006086479878501305
2021-05-05,0.01648602748938255,0.004142168530566259,0.0016485934805829938,0.0001831439440860283
2021-05-06,0.00938954081781862,0.01667957921247054,0.0016464020357840337,0.008137447196643333
2021-05-07,0.015010726765047888,0.00899681760120985,-0.00493154350368219,0.007137837054337348
2021-05-10,-0.011247559644072314,0.0030305045955998366,-0.010126868140985512,-0.00979327316973011
2021-05-11,-0.012639745944343583,0.000174300035968189,-0.005659634478578424,-0.00877075243296721
2021-05-12,-0.010241090092489191,-0.009933813872024522,-0.01050776665350761,-0.02134623721207729
2021-05-13,0.010993843021752436,0.004107329913244362,0.0015483993074343338,0.0118850040406826
2021-05-14,0.02345421415966853,0.009115862292308208,0.009351729263961772,0.015351686008206133
2021-05-17,-0.003958550262636584,0.011639321781340195,-0.0021158188775535214,-0.0024025388581112583
2021-05-18,-0.0014638780089755166,0.001946172546249958,-0.002558437476951614,-0.008637825560732892
2021-05-19,-0.013615568146215007,0.000685616890880425,-0.002419048704337734,-0.0026405531509718916
2021-05-20,0.01805056872811628,0.004567270124640199,0.00822904157916815,0.010668841438168597
2021-05-21,0.0031287228151026802,0.0004545724551812125,0.0032059892240667853,-0.000759316936771337
2021-05-24,0.007902285963716338,0.001761036294059215,0.0037045576850143203,0.010092397898353367
2021-05-25,0.0012376930558299915,0.009072814229376336,0.009264014792031317,-0.002102161661631574
2021-05-26,-0.00597565225377561,-0.0017420486873281904,-0.001721393779364755,0.0018203885570007294
2021-05-27,0.0022802334440448213,0.00039409662496781017,-0.004022442303162732,0.0004414921752893264
2021-05-28,0.00537742324159729,0.003770176937892389,-0.001586988808196077,0.0019462628793107672
2021-06-01,0.004320004983838999,-0.0026909461441234628,-0.00022382847681490237,-0.0007770269695096532
2021-06-02,0.0018434143309773443,0.004890446350902078,0.002315036285122085,0.0016846688405354193
