Date,AGG,EFA,GLD,TLT,VOO
2016-01-04,79.9401626586914,42.19698715209961,102.88999938964844,89.94145202636719,154.6295623779297
2016-01-05,79.97715759277344,42.13130187988281,103.18000030517578,89.57859802246094,154.90647888183594
2016-01-06,80.28073120117188,41.4379997253418,104.66999816894531,90.78570556640625,152.94329833984375
2016-01-07,80.27334594726562,40.57683181762695,106.1500015258789,90.9486312866211,149.21826171875
2016-01-08,80.4510269165039,40.08786392211914,105.68000030517578,91.3559341430664,147.63262939453125
2016-01-11,80.22149658203125,40.255714416503906,104.73999786376953,90.35615539550781,147.64944458007812
2016-01-12,80.39918518066406,40.44546890258789,104.20999908447266,91.65955352783203,148.87429809570312
2016-01-13,80.58424377441406,39.817848205566406,104.72000122070312,92.56304168701172,145.2332000732422
2016-01-14,80.55470275878906,40.328697204589844,103.0199966430664,91.69660186767578,147.5906982421875
2016-01-15,80.65093231201172,38.86909866333008,104.08000183105469,93.12586212158203,144.42776489257812
2016-01-19,80.5694808959961,39.2266960144043,103.9800033569336,92.83706665039062,144.58717346191406
2016-01-20,80.63610076904297,38.33635330200195,105.37000274658203,93.81456756591797,142.8925018310547
2016-01-21,80.52508544921875,38.6209602355957,105.48999786376953,93.17768859863281,143.58883666992188
2016-01-22,80.58424377441406,39.75945281982422,105.0,92.82228088378906,146.53359985351562
2016-01-25,80.53983306884766,39.2266960144043,106.08000183105469,93.32579040527344,144.3606719970703
2016-01-26,80.6435317993164,39.92731857299805,107.29000091552734,93.37025451660156,146.3154754638672
2016-01-27,80.65834045410156,39.67188262939453,107.69000244140625,93.34803771972656,144.65431213378906
2016-01-28,80.72492980957031,39.78864288330078,106.54000091552734,93.4813232421875,145.4429168701172
2016-01-29,80.96188354492188,40.4892578125,106.94999694824219,94.27376556396484,149.12594604492188
2016-02-01,80.86390686035156,40.44546890258789,108.05000305175781,93.98512268066406,148.9917755126953
2016-02-02,81.10881042480469,39.504024505615234,108.08999633789062,95.72874450683594,146.29026794433594
2016-02-03,81.1013412475586,39.83243942260742,109.25,94.93482971191406,147.14598083496094
2016-02-04,81.18302154541016,39.88352966308594,110.56999969482422,95.39485168457031,147.33059692382812
2016-02-05,81.10881042480469,39.27048873901367,112.31999969482422,95.50615692138672,144.56202697753906
2016-02-08,81.42041015625,38.54069900512695,113.83000183105469,97.56137084960938,142.57371520996094
2016-02-09,81.41299438476562,38.09550857543945,113.58000183105469,97.6652603149414,142.6156463623047
2016-02-10,81.61329650878906,38.05172348022461,114.45999908447266,98.52596282958984,142.5233154296875
2016-02-11,81.6652603149414,37.4970817565918,119.05999755859375,99.21601867675781,140.69442749023438
2016-02-12,81.44266510009766,38.153900146484375,118.36000061035156,97.56883239746094,143.5804443359375
2016-02-16,81.24231719970703,38.927490234375,114.7699966430664,96.5374526977539,145.98822021484375
2016-02-17,81.19782257080078,39.59889221191406,115.4800033569336,95.9438705444336,148.3793182373047
2016-02-18,81.44266510009766,39.39455795288086,118.29000091552734,97.12364959716797,147.75009155273438
2016-02-19,81.45751190185547,39.350765228271484,117.58000183105469,97.20523071289062,147.71649169921875
2016-02-22,81.47977447509766,39.79594421386719,115.48999786376953,97.15333557128906,149.83074951171875
2016-02-23,81.49458312988281,39.14643096923828,117.22000122070312,97.54656219482422,147.9514923095703
2016-02-24,81.5242919921875,39.00776290893555,117.61000061035156,97.35366821289062,148.6477813720703
2016-02-25,81.7320556640625,39.474830627441406,117.91999816894531,97.70240020751953,150.4347381591797
2016-02-26,81.58362579345703,39.3726692199707,117.11000061035156,96.76008605957031,150.1579132080078
2016-02-29,81.68009185791016,39.13912582397461,118.63999938964844,97.18296813964844,148.81561279296875
2016-03-01,81.43547821044922,40.160850524902344,117.7699966430664,95.47171783447266,152.4818572998047
2016-03-02,81.34632110595703,40.43817138671875,118.68000030517578,95.86573791503906,153.1278839111328
2016-03-03,81.44295501708984,40.83226013183594,120.7300033569336,96.21513366699219,153.6899871826172
2016-03-04,81.31655883789062,41.13148880004883,120.54000091552734,95.5981216430664,154.1849365234375
2016-03-07,81.29422760009766,41.08039855957031,121.13999938964844,95.568359375,154.35279846191406
