Portfolio,DF,95% VaR (Loss),95% ES (Loss),99% VaR (Loss),99% ES (Loss),VaR (€) 99%,ES (€) 99%
Equal Weight,3.8946972599507634,0.007695641339160496,0.011887826275324337,0.013996125599051128,0.019842751869570917,1399.612559905113,1984.2751869570918
Classic 60/40,1.9830879124704486,0.010593617080460057,0.022879282173339156,0.02583619396637762,0.052947374949257116,2583.619396637762,5294.737494925712
Defensive,5.30582654193968,0.008142419693511087,0.01170123033354914,0.0136578933161434,0.01797616850932837,1365.78933161434,1797.6168509328368
Aggressive Growth,3.0470013142787327,0.011403770146775724,0.019077317938166142,0.022476330323500927,0.03477895742188844,2247.633032350093,3477.895742188844
Conservative Income,2.060042794750143,0.008932756164004454,0.01851333293684992,0.021066520235649658,0.041524910981014934,2106.652023564966,4152.491098101494
