Date,PORT
2021-01-05,0.0033845444990389106
2021-01-06,0.0005182470860186084
2021-01-07,0.005567747336588014
2021-01-08,-0.0003241075519835549
2021-01-11,-0.006849555826119714
2021-01-12,0.0008606654713923857
2021-01-13,0.002648698448256559
2021-01-14,-0.0023457642043298033
2021-01-15,-0.00789150746352978
2021-01-19,0.007018110759042728
2021-01-20,0.009848763295064056
2021-01-21,-0.0005286419256208432
2021-01-22,-0.0031431910189927523
2021-01-25,0.002540808003715145
2021-01-26,0.00034062784449794285
2021-01-27,-0.017830342973510317
2021-01-28,0.005614452030852357
2021-01-29,-0.015575160045129644
2021-02-01,0.01213425499285814
2021-02-02,0.007681754354588276
2021-02-03,-0.0009021431632690757
2021-02-04,0.003574863498637548
2021-02-05,0.0033035421461211634
2021-02-08,0.006747976414766721
2021-02-09,0.0004438122987297733
2021-02-10,0.00047720272125955087
2021-02-11,0.0005772134778272763
2021-02-12,0.0010591729385991179
2021-02-16,-0.003706322143333241
2021-02-17,-0.0015415459806364606
2021-02-18,-0.0032272464902967646
2021-02-19,-0.0020507166329229885
2021-02-22,-0.004325075679325385
2021-02-23,5.629931426895935e-05
2021-02-24,0.0056682177752570345
2021-02-25,-0.02093863369248976
2021-02-26,-0.0005097005243016811
2021-03-01,0.013151911750716137
2021-03-02,-0.003077371042471433
2021-03-03,-0.011070409599445686
2021-03-04,-0.010523107512173268
2021-03-05,0.010511243385891622
2021-03-08,-0.0040165692598614355
2021-03-09,0.0147289530675897
2021-03-10,0.00624723547823689
2021-03-11,0.005697937121812313
2021-03-12,-0.003558250744234215
2021-03-15,0.003615560361606485
2021-03-16,-0.0015893069703809771
2021-03-17,0.0028843776749908345
2021-03-18,-0.012371661554923197
2021-03-19,0.0008592504724261875
2021-03-22,0.006137462808776328
2021-03-23,-0.004994953955407578
2021-03-24,-0.0018495255905526251
2021-03-25,0.0021562856240963544
2021-03-26,0.010294840177781638
2021-03-29,-0.003549649129851995
2021-03-30,-0.001217849862663001
2021-03-31,0.0024300018253378356
2021-04-01,0.013340016227406482
2021-04-05,0.009835416054871161
2021-04-06,-0.0001595999448009035
2021-04-07,-0.0007383240850908468
2021-04-08,0.0061244912175067116
2021-04-09,0.0024649671018494687
2021-04-12,-0.001208271871146216
2021-04-13,0.004790596353511556
2021-04-14,-0.0027641412446456127
2021-04-15,0.011849721073687957
2021-04-16,0.0036043921146170057
2021-04-19,-0.0037816841197976015
2021-04-20,-0.00618023335141974
2021-04-21,0.008955041138620955
2021-04-22,-0.004920309680165491
2021-04-23,0.0066227893623095335
2021-04-26,0.0013594010752031149
2021-04-27,-0.0023646123929447426
2021-04-28,0.0009537801869631158
2021-04-29,0.0022903580112479394
2021-04-30,-0.0066442224958152
2021-05-03,0.005048033407088993
2021-05-04,-0.006457097751569519
2021-05-05,0.004132713019092749
2021-05-06,0.007943870090289252
2021-05-07,0.006484436939562799
2021-05-10,-0.008868471682316637
2021-05-11,-0.008027822297471187
2021-05-12,-0.015816271342440458
2021-05-13,0.00886168347750309
2021-05-14,0.015148617918059949
2021-05-17,-0.0012522110789596305
2021-05-18,-0.004928758622926877
2021-05-19,-0.004458638256508452
2021-05-20,0.011047069793005205
2021-05-21,0.000932741184966346
2021-05-24,0.007543671308328738
2021-05-25,0.001956542161694108
2021-05-26,-0.0008034197968605273
2021-05-27,-8.828602168213794e-05
2021-05-28,0.002108236020124865
2021-06-01,0.0001616272022376464
2021-06-02,0.0021630691785778033
2021-06-03,-0.006082369736105331
2021-06-04,0.00970899752080696
2021-06-07,0.00022069400908020231
2021-06-08,0.0009288130217135037
2021-06-09,0.00038046670830642636
2021-06-10,0.004060920147992775
2021-06-11,0.0003238320224795419
2021-06-14,-0.00037384964093415416
2021-06-15,-0.001464024849714829
2021-06-16,-0.006587072454742438
2021-06-17,-0.0015290258265397319
2021-06-18,-0.007714903253687122
2021-06-21,0.007701365791020941
2021-06-22,0.0028066823600939924
2021-06-23,-0.0030930750796968947
2021-06-24,0.0055383300489264325
2021-06-25,2.016179811157291e-05
2021-06-28,0.0016248990152730625
2021-06-29,-0.0005379312796719328
2021-06-30,-0.0003625931156804764
2021-07-01,0.0036882796631582337
2021-07-02,0.005878698008222827
2021-07-06,-0.0006532179963117836
2021-07-07,0.005209772014246816
2021-07-08,-0.006816665219242501
2021-07-09,0.007197563630308123
2021-07-12,0.0024937425031172915
2021-07-13,-0.004832332203573597
2021-07-14,0.00514739168235887
2021-07-15,-0.0016830959938349485
2021-07-16,-0.006960111733907004
2021-07-19,-0.007836526065281091
2021-07-20,0.006787954554968546
2021-07-21,0.0051354247310318015
2021-07-22,0.0037126368817685714
2021-07-23,0.0054161536799486095
2021-07-26,0.0008708937810881113
2021-07-27,-0.0007294271186333745
2021-07-28,0.0014440709721523339
2021-07-29,0.003690077866330422
2021-07-30,-0.0036852468562377453
2021-08-02,0.0011536237129329166
2021-08-03,0.005346783350792395
2021-08-04,-0.001872312778842311
2021-08-05,0.002633783359106501
2021-08-06,-0.005313171519992821
2021-08-09,-0.003348087125935562
2021-08-10,2.9217309193740796e-05
2021-08-11,0.0037204173812931175
2021-08-12,0.0017400364338240326
2021-08-13,0.006789066467629735
2021-08-16,0.0010197556317663504
2021-08-17,-0.005567234258166621
