Portfolio,95% VaR (Loss),95% ES (Loss),99% VaR (Loss),99% ES (Loss),VaR (€) 99%,ES (€) 99%
Equal Weight,0.00837025859989323,0.01296217152402587,0.0137115629866849,0.022303373313233437,1371.15629866849,2230.3373313233437
Classic 60/40,0.0098556751090661,0.01672033725791651,0.0185729471558654,0.03226904468164879,1857.29471558654,3226.904468164879
Defensive,0.008392333543455014,0.012090760936057541,0.0140079786810964,0.018262278092612227,1400.7978681096401,1826.2278092612228
Aggressive Growth,0.0125831914168458,0.01988275683674206,0.023049189127949,0.03436683988273294,2304.9189127949,3436.683988273294
Conservative Income,0.0081572779799401,0.011702619817568498,0.0132450830102537,0.019062939719140585,1324.50830102537,1906.2939719140584
