Date,Equal Weight
2016-01-05,-0.00010382033232543474
2016-01-06,0.0005163427160456486
2016-01-07,-0.005876111997683706
2016-01-08,-0.004090892191908717
2016-01-11,-0.003685050399074255
2016-01-12,0.004905913706525597
2016-01-13,-0.004594850435565485
2016-01-14,0.0006198907714074801
2016-01-15,-0.006129073993398243
2016-01-19,0.0010458306132793715
2016-01-20,-0.0019406944420524263
2016-01-21,0.0010534424173974058
2016-01-22,0.008416985595440617
2016-01-25,-0.002617215241499904
2016-01-26,0.008874866998966653
2016-01-27,-0.0028193207519905325
2016-01-28,-6.006506219077143e-06
2016-01-29,0.011571091329878021
2016-02-01,0.0008061965038971568
2016-02-02,-0.003899348345550514
2016-02-03,0.003296380568713304
2016-02-04,0.00408603265771509
2016-02-05,-0.0036228666709309148
2016-02-08,0.0012925264103378052
2016-02-09,-0.0024990553916826234
2016-02-10,0.0034389880490132496
2016-02-11,0.004075732540793117
2016-02-12,0.0025611300822402415
2016-02-16,-0.0012638672520568167
2016-02-17,0.006601376658506775
2016-02-18,0.006030317386058911
2016-02-19,-0.001264594336601417
2016-02-22,0.0015168029969373593
2016-02-23,-0.0019325665041547983
2016-02-24,0.0005752576764970768
2016-02-25,0.0065310327091352175
2016-02-26,-0.004561957119966349
2016-02-29,0.0007489686186750287
2016-03-01,0.0045506804469096695
2016-03-02,0.00437046023345612
2016-03-03,0.007079427292646911
2016-03-04,0.00020197188143175423
2016-03-07,0.0008473257307424071
2016-03-08,-0.002428863753790017
2016-03-09,-0.0011131202912487664
2016-03-10,0.0022671358421375524
2016-03-11,0.002643316573692275
2016-03-14,-0.002564423328317733
2016-03-15,-0.001990961958843861
2016-03-16,0.008835564709311966
2016-03-17,0.0032815945220143207
2016-03-18,0.00043173652160412296
2016-03-21,-0.00338576333084495
2016-03-22,-4.077721945527111e-05
2016-03-23,-0.005140452153850461
2016-03-24,-0.001865710339833877
2016-03-28,0.0022156931069555077
2016-03-29,0.010419004723346857
2016-03-30,-0.0026370687644380595
2016-03-31,0.0005236393890933333
2016-04-01,-0.001714885627278025
2016-04-04,-0.0020716636596096456
2016-04-05,-0.0009058534162607709
2016-04-06,0.0027166615272068407
2016-04-07,0.0004851505518969584
2016-04-08,0.0026022473472579583
2016-04-11,0.002170116801775288
2016-04-12,0.003242947779416548
2016-04-13,0.00382869579126973
2016-04-14,-0.00347169655965671
2016-04-15,0.002987316568269572
2016-04-18,0.00197386961176458
2016-04-19,0.0065353700356130424
2016-04-20,-0.003379560292408758
2016-04-21,-0.0030219652629060122
2016-04-22,-0.0029083471535653804
2016-04-25,-0.0017989084085610907
2016-04-26,0.000798296031732286
2016-04-27,0.0037121809731639715
2016-04-28,0.00047748968651779524
2016-04-29,0.002394723883018061
2016-05-02,0.0006663940067919403
2016-05-03,-0.0025755999061749294
2016-05-04,-0.0035225553595072037
2016-05-05,0.0011724412954368293
2016-05-06,0.001938627440832318
2016-05-09,-0.003565482709428285
2016-05-10,0.0059768028473815805
2016-05-11,-0.000579001912991744
2016-05-12,-0.002620822881277528
2016-05-13,-0.000671860372046822
2016-05-16,0.0024586707969833765
2016-05-17,-0.0024665294056335743
2016-05-18,-0.007133671864725338
2016-05-19,-0.0014738726173520614
2016-05-20,0.0029123389069092066
2016-05-23,-0.0010875253961792923
2016-05-24,0.000979012186313296
2016-05-25,0.002202665585815435
2016-05-26,0.0012987610479424359
2016-05-27,-0.0013991654257156923
2016-05-31,0.0001716515128023653
2016-06-01,0.0006947866729151619
2016-06-02,0.002082074273658178
2016-06-03,0.010153873903347984
2016-06-06,0.0003997689648004583
2016-06-07,0.00231086224002609
2016-06-08,0.005154923679655063
2016-06-09,-0.00021254310083232414
2016-06-10,-0.005702156147853421
2016-06-13,-0.001881234277555834
2016-06-14,-0.003667299321539298
2016-06-15,0.003716250378055661
2016-06-16,7.625125418157553e-05
2016-06-17,0.0023983077085370954
2016-06-20,0.0023508585799780486
2016-06-21,-0.0027244863488927735
2016-06-22,9.73420635540636e-05
2016-06-23,0.00417556568472559
2016-06-24,-0.008241548448396826
2016-06-27,-0.0004932058379070514
2016-06-28,0.007428468983117811
2016-06-29,0.00624318765910464
2016-06-30,0.007798906684813089
2016-07-01,0.006669321321316218
2016-07-05,-0.0005841477397942041
2016-07-06,0.00268205962427537
2016-07-07,-0.0018502242312780795
2016-07-08,0.00902342029562237
2016-07-11,-0.0005403893987984722
2016-07-12,-0.0030846265963831204
2016-07-13,0.004190767074138818
2016-07-14,-0.001737459067072418
2016-07-15,-0.0045426521281809375
2016-07-18,0.0012296096002456904
2016-07-19,7.859689102740221e-06
2016-07-20,-0.0015263002774067328
2016-07-21,0.002069198803355011
2016-07-22,0.00020335443461166433
2016-07-25,-0.0024982946723288335
2016-07-26,0.001992362586173427
2016-07-27,0.006880118416068248
2016-07-28,-0.0009537321542310465
2016-07-29,0.006965612226312711
2016-08-01,-0.003809958193501658
2016-08-02,-0.003278975702772032
2016-08-03,-0.000743553079840921
2016-08-04,0.0035556813749921686
2016-08-05,-0.003819015123471161
2016-08-08,0.0006443405160037877
2016-08-09,0.005007042881287483
2016-08-10,0.0021164767455793656
2016-08-11,-0.0012853207996642289
2016-08-12,0.0010334661106480784
2016-08-15,-0.0001880838247245611
2016-08-16,-0.001012339032708705
2016-08-17,0.0018805334077403217
2016-08-18,0.0030423174355924225
2016-08-19,-0.00503379580951629
2016-08-22,0.0018747354039336179
2016-08-23,0.0014540534995153027
2016-08-24,-0.00421355711282747
2016-08-25,-0.0021223769156079896
2016-08-26,-0.003347371177742895
2016-08-29,0.005238803108196341
2016-08-30,-0.0035466902493442006
2016-08-31,-0.001049938538205703
2016-09-01,0.002540148575196623
2016-09-02,0.0033469126174059233
2016-09-06,0.0072149600679784305
2016-09-07,-0.000630242802952218
2016-09-08,-0.005310957941342167
2016-09-09,-0.01430100312299823
2016-09-12,0.004503907713882788
2016-09-13,-0.01109898924446892
2016-09-14,0.0008329552834567758
2016-09-15,0.0017630154124258998
2016-09-16,-0.002096447302250205
2016-09-19,0.0007065121971133483
2016-09-20,0.0021922063716361966
2016-09-21,0.01073248253429218
2016-09-22,0.005685147058230804
2016-09-23,-0.0028688803198045707
2016-09-26,-0.002087341020590158
2016-09-27,0.0024290163831082907
2016-09-28,0.0014929158114851517
2016-09-29,-0.004111127767525417
2016-09-30,0.0004883803888196099
2016-10-03,-0.002574322588249266
2016-10-04,-0.010982229032515528
2016-10-05,0.00013131737398812483
2016-10-06,-0.0038253509649702347
2016-10-07,-0.0014526221663796897
2016-10-10,0.0009338264386284543
2016-10-11,-0.007050850470809381
2016-10-12,0.00039149686755626025
2016-10-13,0.0001200415143988547
2016-10-14,-0.0038681002219982537
2016-10-17,0.0009709881131234614
2016-10-18,0.005356160369225403
2016-10-19,0.002517428947694415
2016-10-20,-0.0004883309268004865
2016-10-21,0.00017992465635901397
2016-10-24,-0.0008414609603764411
2016-10-25,0.0013308413525111435
2016-10-26,-0.004216835351012157
2016-10-27,-0.003093451110726378
2016-10-28,-0.00020428401972842871
2016-10-31,0.0021719346979047417
2016-11-01,-0.0010562810195369038
2016-11-02,-8.876194830899322e-05
2016-11-03,-0.0017279577792642111
2016-11-04,0.0001543189522613124
2016-11-07,0.0016073618047546044
2016-11-08,-0.000492742569235433
2016-11-09,-0.008197967391830843
2016-11-10,-0.006867351206214148
2016-11-11,-0.007535308316551943
2016-11-14,-0.0047606586293677785
2016-11-15,0.005362481594765945
2016-11-16,-0.0007975015064438725
2016-11-17,-0.002249730594187888
2016-11-18,-0.005533141065071492
2016-11-21,0.004582252690085669
2016-11-22,0.0009087555847639659
2016-11-23,-0.00598428829749555
2016-11-25,0.0005491345450755604
2016-11-28,0.0022869151067217534
2016-11-29,0.001716780845014485
2016-11-30,-0.007407170761864885
2016-12-01,-0.004712970526422388
2016-12-02,0.0037991765089792386
2016-12-05,0.002002039930505648
2016-12-06,0.0016754731888087885
2016-12-07,0.008426332023260458
2016-12-08,-0.002843937390397752
2016-12-09,-0.0031261454255309597
2016-12-12,-0.00015689275030168632
2016-12-13,0.003820671597456281
2016-12-14,-0.010919871968108433
2016-12-15,-0.0016761879606896897
2016-12-16,0.0007852167193198222
2016-12-19,0.0038083011016224666
2016-12-20,-0.001199742233985791
