Year,Days,Expected 99%,Expected 95%,Hist 99,Norm 99,T 99,Hist 95,Norm 95,T 95,Hist 99 p,Norm 99 p,T 99 p,Hist 95 p,Norm 95 p,T 95 p
2021,252,2.52,12.600000000000001,2,3,3,16,10,15,0.7327118118255211,0.7679687153509303,0.7679687153509303,0.3446497777538863,0.43633527975517805,0.5000913445988143
2022,251,2.5100000000000002,12.55,9,19,18,71,44,70,0.0014228419045553276,1.9135582007834273e-11,1.578199793073054e-10,0.0,6.03073146976385e-13,0.0
2023,250,2.5,12.5,2,3,1,18,14,22,0.7419327009526262,0.7579883213732929,0.2780714900139559,0.13313913486053242,0.6690657551458783,0.012356545939325225
2024,252,2.52,12.600000000000001,3,4,0,15,12,11,0.7679687153509303,0.3880381133603774,,0.5000913445988143,0.8612738247747929,0.6367364999456062
2025,249,2.49,12.450000000000001,2,5,2,9,9,10,0.7465754233039801,0.15968607366311216,0.7465754233039801,0.2922677979337157,0.2922677979337157,0.4613665136289147
