Date,Equal Weight,Classic 60/40,Defensive,Aggressive Growth,Conservative Income
2016-01-05,-0.00010382033232543474,-0.0006443341509435363,-0.00021424268588877694,-0.00026360072296224824,-0.0009452583370458054
2016-01-06,0.0005163427160456486,-0.005298652334401159,0.008024835794802296,-0.009974305052970105,0.004565611233810501
2016-01-07,-0.005876111997683706,-0.013288433747764285,0.002492840669589401,-0.01804639979711272,-0.002506836815354867
2016-01-08,-0.004090892191908717,-0.005479649975201543,-0.0004547326986316636,-0.00843699813709943,-0.00036840412570890825
2016-01-11,-0.003685050399074255,-0.0014703240346374878,-0.006614393710407898,0.00034048356870039676,-0.005302467317313136
2016-01-12,0.004905913706525597,0.007204960566103133,0.004116009054596829,0.006844472093959423,0.006597208140229532
2016-01-13,-0.004594850435565485,-0.009606658172278406,0.0031125716537526225,-0.014884442701482252,0.0007475675081006132
2016-01-14,0.0006198907714074801,0.0067502468869466556,-0.006355620467006261,0.010595796973569242,-0.0021242476734997504
2016-01-15,-0.006129073993398243,-0.014028442681150936,0.005226598403323739,-0.021602693469194963,0.0011397200559898828
2016-01-19,0.0010458306132793715,0.002266352418845547,-0.0010069100125543484,0.0037035643753757625,-0.0005047400104899105
2016-01-20,-0.0019406944420524263,-0.008086866140442924,0.005680250710325442,-0.012712219356142149,0.0018679777695917179
2016-01-21,0.0010534424173974058,0.0020538541161170447,-0.0014944368335830975,0.004093907814625508,-0.0015156688200950634
2016-01-22,0.008416985595440617,0.014277811185212968,0.00018193551804393735,0.01949564188186148,0.003450362193330625
2016-01-25,-0.002617215241499904,-0.007521983852204718,0.003131464031598739,-0.010862730839791845,-8.85129911628237e-05
2016-01-26,0.008874866998966653,0.009725797735677156,0.00550592018889222,0.012656631820260757,0.004886121205711213
2016-01-27,-0.0028193207519905325,-0.005350375913687983,0.00021468279755969963,-0.007131141472350663,-0.001422199413641708
2016-01-28,-6.006506219077143e-06,0.0029648367634880087,-0.002109933801916553,0.0035769130557405343,0.0005603354512175608
2016-01-29,0.011571091329878021,0.015047994188366054,0.0067020677603439275,0.018148081672063856,0.008634693567184082
2016-02-01,0.0008061965038971568,-0.0014497276657322042,0.001703708753310064,-0.001220461657695231,-0.0006647389467014961
2016-02-02,-0.003899348345550514,-0.008139682552100248,0.004504361251597025,-0.01451024353492841,0.0034431136624798677
2016-02-03,0.003296380568713304,0.0025684414353301494,0.0014110098038564599,0.004814984350927389,-0.0004455965703443853
2016-02-04,0.00408603265771509,0.0019297504375263225,0.005492234965025548,0.0015987709550479017,0.0035042017448225415
2016-02-05,-0.0036228666709309148,-0.01025024757571662,0.0031111005773306476,-0.013733230093926784,-0.001746426522165315
